"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 16:45:18 BRT 2022","Mon Nov 14 16:46:36 BRT 2022","78153","","Fluxo cadastro de produtos","","Fluxo cadastro de produtos","Deve completar o fluxo de cadastro de produtos","Deve completar o fluxo de cadastro de produtos",""
"passed","Mon Nov 14 16:04:31 BRT 2022","Mon Nov 14 16:05:40 BRT 2022","69287","","Fluxo cadastro de produtos","","Fluxo cadastro de produtos","Deve completar o fluxo de cadastro de produtos","Deve completar o fluxo de cadastro de produtos",""
